,counter_id,latitude,longitude,is_couvre_feu,temp,precip,windspeed,visibility,icon_encoded,is_lockdown,is_ferie,is_vacances,year,month,day,weekday,hour,is_weekend
29,100047542-103047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
30,100047542-104047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
31,100047546-104047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
32,100047546-103047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
33,100056226-104056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
34,100056226-103056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
35,100056329-104056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
36,100056329-103056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
37,100056332-103056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
38,100056332-104056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
39,100056047-SC,48.86378,2.32003,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
40,100056223-SC,48.86284,2.310345,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
41,100056046-SC,48.86282,2.31061,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
42,100056335-104056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
43,100056335-103056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
44,100050876-103050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
45,100050876-104050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
46,100057445-103057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
47,100057445-104057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
48,100057329-104057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
49,100057329-103057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
50,100057380-104057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
51,100057380-103057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
52,100042374-110042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
53,100042374-109042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
54,100049407-353255860,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
55,100049407-353255859,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
56,100036719-104036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
57,100036719-103036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
58,100063175-353277233,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
59,100063175-353277235,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
60,100056336-106056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
61,100056336-105056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
62,100007049-102007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
63,100007049-101007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
64,100056330-104056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
65,100056330-103056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
66,100056334-103056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
67,100056334-104056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
68,100036718-104036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
69,100036718-103036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
70,100047547-104047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
71,100047547-103047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
72,100044493-SC,48.86149,2.37376,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
73,100060178-102060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
74,100060178-101060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
75,100047545-103047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
76,100047545-104047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
77,100047548-103047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
78,100047548-104047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
79,100056327-103056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
80,100056327-104056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
81,100056331-104056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
82,100056331-103056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
83,100047542-103047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
84,100047542-104047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
85,100047546-104047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
86,100047546-103047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
87,100056226-104056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
88,100056226-103056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
89,100056329-104056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
90,100056329-103056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
91,100056332-103056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
92,100056332-104056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
93,100056047-SC,48.86378,2.32003,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
94,100056223-SC,48.86284,2.310345,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
95,100056046-SC,48.86282,2.31061,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
96,100056335-104056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
97,100056335-103056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
98,100050876-103050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
99,100050876-104050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
100,100057445-103057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
101,100057445-104057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
102,100057329-104057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
103,100057329-103057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
104,100057380-104057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
105,100057380-103057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
106,100042374-110042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
107,100042374-109042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,2,0
108,100049407-353255860,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
109,100049407-353255859,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
110,100036719-104036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
111,100036719-103036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
112,100063175-353277233,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
113,100063175-353277235,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
114,100056336-106056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
115,100056336-105056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
116,100007049-102007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
117,100007049-101007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
118,100056330-104056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
119,100056330-103056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
120,100056334-103056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
121,100056334-104056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
122,100036718-104036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
123,100036718-103036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
124,100047547-104047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
125,100047547-103047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
126,100044493-SC,48.86149,2.37376,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
127,100060178-102060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
128,100060178-101060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
129,100047545-103047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
130,100047545-104047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
131,100047548-103047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
132,100047548-104047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
133,100056327-103056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
134,100056327-104056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
135,100056331-104056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
136,100056331-103056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
137,100047542-103047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
138,100047542-104047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
139,100047546-104047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
140,100047546-103047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
141,100056226-104056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
142,100056226-103056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
143,100056329-104056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
144,100056329-103056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
145,100056332-103056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
146,100056332-104056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
147,100056047-SC,48.86378,2.32003,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
148,100056223-SC,48.86284,2.310345,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
149,100056046-SC,48.86282,2.31061,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
150,100056335-104056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
151,100056335-103056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
152,100050876-103050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
153,100050876-104050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
154,100057445-103057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
155,100057445-104057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
156,100057329-104057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
157,100057329-103057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
158,100057380-104057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
159,100057380-103057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
160,100042374-110042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
161,100042374-109042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,3,0
162,100049407-353255860,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
163,100049407-353255859,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
164,100036719-104036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
165,100036719-103036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
166,100063175-353277233,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
167,100063175-353277235,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
168,100056336-106056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
169,100056336-105056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
170,100007049-102007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
171,100007049-101007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
172,100056330-104056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
173,100056330-103056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
174,100056334-103056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
175,100056334-104056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
176,100036718-104036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
177,100036718-103036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
178,100047547-104047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
179,100047547-103047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
180,100044493-SC,48.86149,2.37376,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
181,100060178-102060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
182,100060178-101060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
183,100047545-103047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
184,100047545-104047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
185,100047548-103047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
186,100047548-104047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
187,100056327-103056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
188,100056327-104056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
189,100056331-104056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
190,100056331-103056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
191,100047542-103047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
192,100047542-104047542,48.89172,2.38531,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
193,100047546-104047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
194,100047546-103047546,48.829523,2.38699,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
195,100056226-104056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
196,100056226-103056226,48.830331,2.400551,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
197,100056329-104056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
198,100056329-103056329,48.84223,2.36811,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
199,100056332-103056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
200,100056332-104056332,48.83848,2.37587,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
201,100056047-SC,48.86378,2.32003,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
202,100056223-SC,48.86284,2.310345,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
203,100056046-SC,48.86282,2.31061,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
204,100056335-104056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
205,100056335-103056335,48.86288,2.31179,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
206,100050876-103050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
207,100050876-104050876,48.85735,2.35211,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
208,100057445-103057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
209,100057445-104057445,48.86377,2.35096,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
210,100057329-104057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
211,100057329-103057329,48.84201,2.36729,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
212,100057380-104057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
213,100057380-103057380,48.86462,2.31444,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
214,100042374-110042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
215,100042374-109042374,48.8484,2.27586,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,4,0
216,100049407-353255860,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
217,100049407-353255859,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
218,100036719-104036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
219,100036719-103036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
220,100063175-353277233,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
221,100063175-353277235,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
222,100056336-106056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
223,100056336-105056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
224,100007049-102007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
225,100007049-101007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
226,100056330-104056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
227,100056330-103056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
228,100056334-103056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
229,100056334-104056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
230,100036718-104036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
231,100036718-103036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
232,100047547-104047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
233,100047547-103047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,5,0
